year,reclat,reclong,GeoLocation
1880,50.775,6.08333,"(50.775000, 6.083330)"
1951,56.18333,10.23333,"(56.183330, 10.233330)"
1952,54.21667,-113,"(54.216670, -113.000000)"
1976,16.88333,-99.9,"(16.883330, -99.900000)"
1902,-33.16667,-64.95,"(-33.166670, -64.950000)"
1919,32.1,71.8,"(32.100000, 71.800000)"
1949,44.83333,95.16667,"(44.833330, 95.166670)"
1814,44.21667,0.61667,"(44.216670, 0.616670)"
1930,-31.6,-65.23333,"(-31.600000, -65.233330)"
1920,-30.86667,-64.55,"(-30.866670, -64.550000)"
1974,16.39806,-9.57028,"(16.398060, -9.570280)"
1925,19.08333,8.38333,"(19.083330, 8.383330)"
1769,50.66667,2.33333,"(50.666670, 2.333330)"
1949,29.51667,35.05,"(29.516670, 35.050000)"
1838,29.71667,77.95,"(29.716670, 77.950000)"
1959,8.91667,8.43333,"(8.916670, 8.433330)"
1981,39.91667,42.81667,"(39.916670, 42.816670)"
1957,24.41667,39.51667,"(24.416670, 39.516670)"
2001,13.66033,28.96,"(13.660330, 28.960000)"
1806,44.11667,4.08333,"(44.116670, 4.083330)"
1766,44.65,11.01667,"(44.650000, 11.016670)"
1949,2,22.66667,"(2.000000, 22.666670)"
2002,45.82133,6.01533,"(45.821330, 6.015330)"
1835,51.78333,-1.78333,"(51.783330, -1.783330)"
1873,36.23333,37.13333,"(36.233330, 37.133330)"
1860,44.88333,8.75,"(44.883330, 8.750000)"
1900,50.95,31.81667,"(50.950000, 31.816670)"
1883,45.26667,10.15,"(45.266670, 10.150000)"
1899,42.53333,-85.88333,"(42.533330, -85.883330)"
1969,26.96667,-105.31667,"(26.966670, -105.316670)"
2008,20.74575,32.41275,"(20.745750, 32.412750)"
1977,35.27333,44.21556,"(35.273330, 44.215560)"
1895,27.66667,78.25,"(27.666670, 78.250000)"
1880,26.58333,85.56667,"(26.583330, 85.566670)"
1898,44.61667,-70.75,"(44.616670, -70.750000)"
1969,48.7,37.5,"(48.700000, 37.500000)"
1939,20.88333,76.86667,"(20.883330, 76.866670)"
,0,0,"(0.000000, 0.000000)"
1822,47.46667,-0.55,"(47.466670, -0.550000)"
1869,-22.96667,-44.31667,"(-22.966670, -44.316670)"
1942,9.53333,39.71667,"(9.533330, 39.716670)"
1971,25.15,105.18333,"(25.150000, 105.183330)"
1984,40.81056,140.78556,"(40.810560, 140.785560)"
1914,53.58333,-2.71667,"(53.583330, -2.716670)"
1803,43.86667,5.38333,"(43.866670, 5.383330)"
1954,-33,-66,"(-33.000000, -66.000000)"
1932,38.5,-94.3,"(38.500000, -94.300000)"
1950,-31.41667,-60.66667,"(-31.416670, -60.666670)"
1805,42.45,9.03333,"(42.450000, 9.033330)"
2009,31.805,-97.01,"(31.805000, -97.010000)"
1923,52.05,0.3,"(52.050000, 0.300000)"
1886,43.03333,12.55,"(43.033330, 12.550000)"
1920,25.25417,80.625,"(25.254170, 80.625000)"
1896,20.06667,-103.66667,"(20.066670, -103.666670)"
1933,34.75,-87,"(34.750000, -87.000000)"
1945,34.31667,-96.15,"(34.316670, -96.150000)"
1836,44.38333,5.16667,"(44.383330, 5.166670)"
1865,36.16667,3.66667,"(36.166670, 3.666670)"
1842,44.33333,3.23333,"(44.333330, 3.233330)"
1858,43.08333,0.58333,"(43.083330, 0.583330)"
1952,-21.46028,-49.95083,"(-21.460280, -49.950830)"
1908,46,13.5,"(46.000000, 13.500000)"
1855,25,-103.5,"(25.000000, -103.500000)"
1968,2.71667,32.83333,"(2.716670, 32.833330)"
1938,36.8,-108,"(36.800000, -108.000000)"
1814,48.6,38,"(48.600000, 38.000000)"
1934,28.48333,78.5,"(28.483330, 78.500000)"
1929,35.96667,-82.48333,"(35.966670, -82.483330)"
1922,34.5,-88.66667,"(34.500000, -88.666670)"
1907,5.38333,16.38333,"(5.383330, 16.383330)"
1993,16.66667,101.18333,"(16.666670, 101.183330)"
1871,-6.91667,107.6,"(-6.916670, 107.600000)"
1892,27.7,76.33333,"(27.700000, 76.333330)"
1913,30.4,78.2,"(30.400000, 78.200000)"
1933,-6.33333,106,"(-6.333330, 106.000000)"
1790,43.95,-0.05,"(43.950000, -0.050000)"
1704,41.36667,2.16667,"(41.366670, 2.166670)"
1842,42.38333,-2.5,"(42.383330, -2.500000)"
1904,52.73333,84.08333,"(52.733330, 84.083330)"
1886,52,9.1,"(52.000000, 9.100000)"
1910,31.61667,76.8,"(31.616670, 76.800000)"
1965,52.56528,-1.33972,"(52.565280, -1.339720)"
2006,15.78333,-5.9,"(15.783330, -5.900000)"
1994,52.03333,20.93583,"(52.033330, 20.935830)"
1892,45.41667,-98.31667,"(45.416670, -98.316670)"
1902,38.25,-83.75,"(38.250000, -83.750000)"
2012,40.66813,-117.18913,"(40.668130, -117.189130)"
1989,11.08333,-0.18333,"(11.083330, -0.183330)"
1916,36.75,-93.5,"(36.750000, -93.500000)"
1929,39.8,-101.2,"(39.800000, -101.200000)"
1893,51.16667,-117.33333,"(51.166670, -117.333330)"
1949,53.01667,-4.1,"(53.016670, -4.100000)"
1961,33.6,-96.46667,"(33.600000, -96.466670)"
1937,-32.33333,-64.86667,"(-32.333330, -64.866670)"
1798,25.36667,82.91667,"(25.366670, 82.916670)"
2004,32.25,-8.15,"(32.250000, -8.150000)"
2001,32.86667,10.8,"(32.866670, 10.800000)"
1938,39.08333,-89.15,"(39.083330, -89.150000)"
1943,-26.16667,28.41667,"(-26.166670, 28.416670)"
2002,30,-7,"(30.000000, -7.000000)"
1949,45.95,-67.55,"(45.950000, -67.550000)"
2008,-31.91,-58.32833,"(-31.910000, -58.328330)"
1924,11.65,-3.65,"(11.650000, -3.650000)"
1811,41.68333,-3.8,"(41.683330, -3.800000)"
2004,40.30583,-105.02325,"(40.305830, -105.023250)"
1859,42.53333,-73.83333,"(42.533330, -73.833330)"
1859,43.21667,-0.23333,"(43.216670, -0.233330)"
1921,33.88333,35.5,"(33.883330, 35.500000)"
1877,20.88333,74.83333,"(20.883330, 74.833330)"
2002,26.50833,73.11528,"(26.508330, 73.115280)"
1893,20.83333,71.46667,"(20.833330, 71.466670)"
1940,22.68333,90.65,"(22.683330, 90.650000)"
1905,22.08333,86.9,"(22.083330, 86.900000)"
1827,53.1,23.2,"(53.100000, 23.200000)"
1887,50.13333,27.16667,"(50.133330, 27.166670)"
1999,12.45,-0.08333,"(12.450000, -0.083330)"
1984,-33.15639,115.67639,"(-33.156390, 115.676390)"
1923,13.76667,5.3,"(13.766670, 5.300000)"
1843,34.16667,-80.28333,"(34.166670, -80.283330)"
1895,25.38333,82.6,"(25.383330, 82.600000)"
1796,49.78333,30.16667,"(49.783330, 30.166670)"
1899,60.4,25.8,"(60.400000, 25.800000)"
1941,40.91667,-78.08333,"(40.916670, -78.083330)"
1906,36.83333,-97.33333,"(36.833330, -97.333330)"
1909,31.83333,-98.83333,"(31.833330, -98.833330)"
1833,49.36667,16.63333,"(49.366670, 16.633330)"
1938,40.48,-89.00417,"(40.480000, -89.004170)"
1977,33.83333,115.83333,"(33.833330, 115.833330)"
1804,23,-102,"(23.000000, -102.000000)"
1962,12.5,0.7,"(12.500000, 0.700000)"
1916,44.55,131.63333,"(44.550000, 131.633330)"
1808,44.86667,10.05,"(44.866670, 10.050000)"
1894,21.95,78.03333,"(21.950000, 78.033330)"
1930,54.23333,52.48333,"(54.233330, 52.483330)"
1852,48.15,24.28333,"(48.150000, 24.283330)"
1812,55.46667,35.86667,"(55.466670, 35.866670)"
1823,51.33333,33.88333,"(51.333330, 33.883330)"
2003,17.71067,-11.3715,"(17.710670, -11.371500)"
2011,17.17493,-11.34133,"(17.174930, -11.341330)"
1969,54.56667,-6.33333,"(54.566670, -6.333330)"
1886,40.5,-80.08333,"(40.500000, -80.083330)"
1847,50.6,16.3,"(50.600000, 16.300000)"
1956,50.66694,8.18361,"(50.666940, 8.183610)"
1855,53.4,9.1,"(53.400000, 9.100000)"
1933,52.13333,59.31667,"(52.133330, 59.316670)"
1960,53.9,-112.88333,"(53.900000, -112.883330)"
2001,39.77978,64.60035,"(39.779780, 64.600350)"
1964,,,
2007,-31.35,129.19,"(-31.350000, 129.190000)"
1942,10.01667,9.58333,"(10.016670, 9.583330)"
1919,5,48,"(5.000000, 48.000000)"
1990,37.62194,-82.23722,"(37.621940, -82.237220)"
1946,40.2,29.23333,"(40.200000, 29.233330)"
1863,46.45,25.78333,"(46.450000, 25.783330)"
1852,26.78333,82.83333,"(26.783330, 82.833330)"
1861,27.08333,84.08333,"(27.083330, 84.083330)"
2008,52.996,-109.84817,"(52.996000, -109.848170)"
1870,37.98333,-1.16667,"(37.983330, -1.166670)"
1886,35.5,-93.5,"(35.500000, -93.500000)"
1919,43.83889,20.33333,"(43.838890, 20.333330)"
2007,3.405,-76.51,"(3.405000, -76.510000)"
1916,11.75,122.33333,"(11.750000, 122.333330)"
1991,-7.03333,-40.16667,"(-7.033330, -40.166670)"
1964,39.8,26.6,"(39.800000, 26.600000)"
1861,41.25,1.66667,"(41.250000, 1.666670)"
1866,43.38333,-5.15,"(43.383330, -5.150000)"
1973,38.47028,-105.24139,"(38.470280, -105.241390)"
1846,37.26667,-89.58333,"(37.266670, -89.583330)"
1934,-30.88333,-64.55,"(-30.883330, -64.550000)"
2007,-16.66444,-69.04389,"(-16.664440, -69.043890)"
1902,38.5,27,"(38.500000, 27.000000)"
1874,36.08333,-78.06667,"(36.083330, -78.066670)"
1791,43.35,11.5,"(43.350000, 11.500000)"
1848,44.38333,-68.75,"(44.383330, -68.750000)"
1583,39.8,16.2,"(39.800000, 16.200000)"
1810,36.5,-79.25,"(36.500000, -79.250000)"
1988,26.46667,-105.23333,"(26.466670, -105.233330)"
1956,43.2,-96.91667,"(43.200000, -96.916670)"
1840,45.08333,8.3,"(45.083330, 8.300000)"
1998,28.53333,109.31667,"(28.533330, 109.316670)"
1814,25.36667,81.66667,"(25.366670, 81.666670)"
1907,25.85,83.48333,"(25.850000, 83.483330)"
1933,-30.78333,-58.05,"(-30.783330, -58.050000)"
1838,20.26667,76.01667,"(20.266670, 76.016670)"
1885,27.28333,79.05,"(27.283330, 79.050000)"
1977,29.08333,111.75,"(29.083330, 111.750000)"
1812,46.68333,1.05,"(46.683330, 1.050000)"
1835,36.16667,-87.33333,"(36.166670, -87.333330)"
1810,47.93333,1.56667,"(47.933330, 1.566670)"
1834,29.48333,75.5,"(29.483330, 75.500000)"
1815,47.71667,5.36667,"(47.716670, 5.366670)"
1841,47.93333,2.91667,"(47.933330, 2.916670)"
1925,41.93333,-7.46667,"(41.933330, -7.466670)"
1988,-3.66667,32.5,"(-3.666670, 32.500000)"
2013,54.81667,61.11667,"(54.816670, 61.116670)"
2007,23.69639,-5.01472,"(23.696390, -5.014720)"
1964,53.7,30.1,"(53.700000, 30.100000)"
1933,35.03333,-81.88333,"(35.033330, -81.883330)"
1901,46.55,6.81667,"(46.550000, 6.816670)"
1939,50.83333,34,"(50.833330, 34.000000)"
1880,14.5,76.5,"(14.500000, 76.500000)"
1981,17.9,101.63333,"(17.900000, 101.633330)"
1938,40.93333,-79.73333,"(40.933330, -79.733330)"
1988,-10.05944,33.395,"(-10.059440, 33.395000)"
1966,-17.35,13.96667,"(-17.350000, 13.966670)"
1978,47.47083,0.97667,"(47.470830, 0.976670)"
1979,-6.95,108.1,"(-6.950000, 108.100000)"
1984,32.1025,-81.87278,"(32.102500, -81.872780)"
1822,,,
1917,44.9,-90.28333,"(44.900000, -90.283330)"
1838,-33.13333,19.38333,"(-33.133330, 19.383330)"
1994,43.76111,-84.50778,"(43.761110, -84.507780)"
1890,42.53333,12.61667,"(42.533330, 12.616670)"
1965,-19.85,-47.55,"(-19.850000, -47.550000)"
1844,21.16667,-100.86667,"(21.166670, -100.866670)"
1917,10.2,76.26667,"(10.200000, 76.266670)"
1936,35.95,-97.58333,"(35.950000, -97.583330)"
1877,-27.7,27.3,"(-27.700000, 27.300000)"
1892,35.63333,-78.13333,"(35.633330, -78.133330)"
1902,54.61667,-6.21667,"(54.616670, -6.216670)"
1919,36.83333,-84.35,"(36.833330, -84.350000)"
1877,38.4,-84.25,"(38.400000, -84.250000)"
1981,35.61667,8.83333,"(35.616670, 8.833330)"
1878,26.91667,83.96667,"(26.916670, 83.966670)"
1868,-28.2,24.56667,"(-28.200000, 24.566670)"
1868,34.4,-87.06667,"(34.400000, -87.066670)"
1804,49.86667,8.65,"(49.866670, 8.650000)"
1998,41.98444,59.685,"(41.984440, 59.685000)"
2008,-1.87089,-79.95756,"(-1.870890, -79.957560)"
1887,43,-80,"(43.000000, -80.000000)"
1829,40.25,-74,"(40.250000, -74.000000)"
1897,28.56667,77.25,"(28.566670, 77.250000)"
1911,51.46667,84.76667,"(51.466670, 84.766670)"
1967,39.7825,-104.93056,"(39.782500, -104.930560)"
2001,26.68333,93.86667,"(26.683330, 93.866670)"
1962,25.73333,73.61667,"(25.733330, 73.616670)"
2001,19,81,"(19.000000, 81.000000)"
1994,24.225,76.525,"(24.225000, 76.525000)"
1976,22.37778,71.42722,"(22.377780, 71.427220)"
1848,14.88333,75.6,"(14.883330, 75.600000)"
1860,32.23333,76.46667,"(32.233330, 76.466670)"
2007,37.35172,27.32997,"(37.351720, 27.329970)"
1906,-33.75,18.56667,"(-33.750000, 18.566670)"
1957,-31.88333,-60.46667,"(-31.883330, -60.466670)"
1884,-7.5,111.5,"(-7.500000, 111.500000)"
1961,12.73333,15.05,"(12.733330, 15.050000)"
1999,36.95,9.55,"(36.950000, 9.550000)"
1903,23.5,90.33333,"(23.500000, 90.333330)"
1864,50.75,25.3,"(50.750000, 25.300000)"
1907,40,29,"(40.000000, 29.000000)"
1995,45.5,119.03333,"(45.500000, 119.033330)"
1899,21.86667,82.45,"(21.866670, 82.450000)"
1970,32.91667,120.78333,"(32.916670, 120.783330)"
1805,51.2,112.3,"(51.200000, 112.300000)"
1962,13.05,3.16667,"(13.050000, 3.166670)"
1932,32.33333,-6.3,"(32.333330, -6.300000)"
1976,-13.66667,33.91667,"(-13.666670, 33.916670)"
1827,36.4,-86.5,"(36.400000, -86.500000)"
1939,42.52,-82.26,"(42.520000, -82.260000)"
1951,42.45833,18.44167,"(42.458330, 18.441670)"
1999,-31.66667,152.83333,"(-31.666670, 152.833330)"
1865,52.55,-8.03333,"(52.550000, -8.033330)"
1976,43.33333,128.25,"(43.333330, 128.250000)"
1815,30.3,76.63333,"(30.300000, 76.633330)"
1853,-4,39.5,"(-4.000000, 39.500000)"
1943,33.43333,127.26667,"(33.433330, 127.266670)"
1970,-27.2,31.31667,"(-27.200000, 31.316670)"
1872,26.25,82,"(26.250000, 82.000000)"
1933,-3,151,"(-3.000000, 151.000000)"
1947,40.78167,-96.47167,"(40.781670, -96.471670)"
1961,-17.3,15.83333,"(-17.300000, 15.833330)"
1785,48.9,11.21667,"(48.900000, 11.216670)"
1939,56.03333,13,"(56.033330, 13.000000)"
1916,28.26667,78.78333,"(28.266670, 78.783330)"
1989,34.41667,3.25,"(34.416670, 3.250000)"
1977,25.37,-97.37,"(25.370000, -97.370000)"
1993,19.96722,-103.05167,"(19.967220, -103.051670)"
1998,39.24667,-104.58817,"(39.246670, -104.588170)"
1399,50.18333,12.73333,"(50.183330, 12.733330)"
1951,47.83333,37.66667,"(47.833330, 37.666670)"
1925,51.75,4,"(51.750000, 4.000000)"
1900,-29.46667,151.61667,"(-29.466670, 151.616670)"
1974,30.3,109.5,"(30.300000, 109.500000)"
1491,47.86667,7.35,"(47.866670, 7.350000)"
1822,48.18333,6.46667,"(48.183330, 6.466670)"
1940,19.03333,81.89167,"(19.033330, 81.891670)"
1911,40.3,44.5,"(40.300000, 44.500000)"
1889,1.16667,44.16667,"(1.166670, 44.166670)"
1812,52.21667,11.25,"(52.216670, 11.250000)"
1837,46.25,-1.1,"(46.250000, -1.100000)"
1957,2.88333,30.83333,"(2.883330, 30.833330)"
1879,43.41667,-94.83333,"(43.416670, -94.833330)"
1890,39.75,-97.03333,"(39.750000, -97.033330)"
1934,35.55,-77.53333,"(35.550000, -77.533330)"
1844,44.38333,2.81667,"(44.383330, 2.816670)"
1934,36.05,-94.16667,"(36.050000, -94.166670)"
1875,36.88333,8.45,"(36.883330, 8.450000)"
1900,32.53333,-87.16667,"(32.533330, -87.166670)"
1924,34.6,116.75,"(34.600000, 116.750000)"
1889,36.1,-81.41667,"(36.100000, -81.416670)"
1996,43.18111,13.75333,"(43.181110, 13.753330)"
1894,47.81667,-96.85,"(47.816670, -96.850000)"
1922,30.83333,-97.76667,"(30.833330, -97.766670)"
1890,43.25,-93.66667,"(43.250000, -93.666670)"
1942,-33.35,146.85833,"(-33.350000, 146.858330)"
1924,36.78333,-78.08333,"(36.783330, -78.083330)"
1900,50.95,7.31667,"(50.950000, 7.316670)"
1829,33.01667,-83.96667,"(33.016670, -83.966670)"
1944,28.25,7,"(28.250000, 7.000000)"
1868,34.48333,-87.83333,"(34.483330, -87.833330)"
1945,31.47556,113.56694,"(31.475560, 113.566940)"
1882,33.18333,130.2,"(33.183330, 130.200000)"
1654,55.33333,10.33333,"(55.333330, 10.333330)"
1822,25.95,80.81667,"(25.950000, 80.816670)"
1977,32.9,115.9,"(32.900000, 115.900000)"
1826,44.3,0.4,"(44.300000, 0.400000)"
1952,7.05,12.43333,"(7.050000, 12.433330)"
1952,7.05,12.43333,"(7.050000, 12.433330)"
1995,51.68333,30.78333,"(51.683330, 30.783330)"
1897,27.35,68.53333,"(27.350000, 68.533330)"
1960,11.65,-2.18333,"(11.650000, -2.183330)"
1917,27.88333,68.53333,"(27.883330, 68.533330)"
1950,41.68333,-112.13333,"(41.683330, -112.133330)"
1984,12.85,11.03333,"(12.850000, 11.033330)"
2000,14.15083,-2.04167,"(14.150830, -2.041670)"
1950,12.91667,11.91667,"(12.916670, 11.916670)"
1909,35.53333,136.88333,"(35.533330, 136.883330)"
1853,37.31667,13.56667,"(37.316670, 13.566670)"
1947,9.6,9.91667,"(9.600000, 9.916670)"
1990,52.2,6.86667,"(52.200000, 6.866670)"
1939,-7.25,107.7,"(-7.250000, 107.700000)"
1918,57.35,37.61667,"(57.350000, 37.616670)"
1991,52.45972,-0.3,"(52.459720, -0.300000)"
1879,50.66667,16.76667,"(50.666670, 16.766670)"
1865,24.23333,89.05,"(24.233330, 89.050000)"
1974,48.28333,38.08333,"(48.283330, 38.083330)"
1964,42.9,2.25,"(42.900000, 2.250000)"
1976,60.66667,11,"(60.666670, 11.000000)"
2009,43.2,-79.61667,"(43.200000, -79.616670)"
1861,43.66667,45.38333,"(43.666670, 45.383330)"
1837,49.26667,18.71667,"(49.266670, 18.716670)"
1881,46.35,30.58333,"(46.350000, 30.583330)"
1841,51.93333,15.5,"(51.933330, 15.500000)"
1910,52.86667,16.63333,"(52.866670, 16.633330)"
1932,-33,-58.61667,"(-33.000000, -58.616670)"
1996,39.80417,122.76389,"(39.804170, 122.763890)"
1983,24.1,105,"(24.100000, 105.000000)"
1980,37.1,118.4,"(37.100000, 118.400000)"
1892,38.73333,-6.01667,"(38.733330, -6.016670)"
1891,43.76667,20.23333,"(43.766670, 20.233330)"
1972,13.5,-0.68333,"(13.500000, -0.683330)"
1949,9.91667,13.98333,"(9.916670, 13.983330)"
1982,22.98333,76.05,"(22.983330, 76.050000)"
1984,11.49167,11.65833,"(11.491670, 11.658330)"
1904,42.9,24.7,"(42.900000, 24.700000)"
1814,13.78333,78.56667,"(13.783330, 78.566670)"
1981,9.36667,42.41667,"(9.366670, 42.416670)"
1851,51.91667,8.38333,"(51.916670, 8.383330)"
1930,35,127.5,"(35.000000, 127.500000)"
1817,35.65,139.33333,"(35.650000, 139.333330)"
1934,50.31667,3.73333,"(50.316670, 3.733330)"
1944,57.81667,16.23333,"(57.816670, 16.233330)"
1959,41.38333,-86.6,"(41.383330, -86.600000)"
1878,26.8,82.53333,"(26.800000, 82.533330)"
1921,28.38333,75.78333,"(28.383330, 75.783330)"
1961,32.675,-94.51167,"(32.675000, -94.511670)"
1859,38.25,-86.16667,"(38.250000, -86.166670)"
1910,35.2945,136.70033,"(35.294500, 136.700330)"
1890,28.95,0.81667,"(28.950000, 0.816670)"
1628,51.65,-1.51667,"(51.650000, -1.516670)"
1971,60.24556,22.06194,"(60.245560, 22.061940)"
1922,55.46667,13.78333,"(55.466670, 13.783330)"
1910,27.33333,35.66667,"(27.333330, 35.666670)"
1857,10,-84.1,"(10.000000, -84.100000)"
1869,59.85,17.66667,"(59.850000, 17.666670)"
1897,33.6,130.43333,"(33.600000, 130.433330)"
1804,55.9,-4.23333,"(55.900000, -4.233330)"
2003,34.45,132.38333,"(34.450000, 132.383330)"
2003,1.345,31.47278,"(1.345000, 31.472780)"
1954,64.43333,21.2,"(64.433330, 21.200000)"
1912,34.9,-110.18333,"(34.900000, -110.183330)"
1923,9.06667,38.41667,"(9.066670, 38.416670)"
1875,41.8,-91.86667,"(41.800000, -91.866670)"
1825,21.3,-157.86667,"(21.300000, -157.866670)"
1956,35.66667,115.5,"(35.666670, 115.500000)"
1963,39.35,-100.45,"(39.350000, -100.450000)"
1751,46.1,16.33333,"(46.100000, 16.333330)"
2010,26.46469,106.63241,"(26.464690, 106.632410)"
1877,50.3,8.91667,"(50.300000, 8.916670)"
1901,61.18333,22.68333,"(61.183330, 22.683330)"
1870,52.28333,7.7,"(52.283330, 7.700000)"
1957,-20,-45,"(-20.000000, -45.000000)"
1949,38,35,"(38.000000, 35.000000)"
1936,58.2,82.93333,"(58.200000, 82.933330)"
1956,-32.1,28.33333,"(-32.100000, 28.333330)"
1977,-23.2,-51.83333,"(-23.200000, -51.833330)"
1975,-6.03333,145.36667,"(-6.033330, 145.366670)"
1891,39.75,46.66667,"(39.750000, 46.666670)"
1917,39.08333,-94.4,"(39.083330, -94.400000)"
1963,41,112,"(41.000000, 112.000000)"
1977,53.415,-111.3375,"(53.415000, -111.337500)"
1972,-25.5,-54.5,"(-25.500000, -54.500000)"
1954,-8.93333,33.8,"(-8.933330, 33.800000)"
1928,-31.18333,-57.95,"(-31.183330, -57.950000)"
1879,-3.4,-44.33333,"(-3.400000, -44.333330)"
1990,26.59083,-12.95217,"(26.590830, -12.952170)"
1938,-8.41667,32.43333,"(-8.416670, 32.433330)"
1903,-32.5,21.9,"(-32.500000, 21.900000)"
1926,26.75,68.41667,"(26.750000, 68.416670)"
1990,,,
1621,31,75,"(31.000000, 75.000000)"
1866,18.75,75.33333,"(18.750000, 75.333330)"
1979,39.7,105.8,"(39.700000, 105.800000)"
1889,43.83333,20.44167,"(43.833330, 20.441670)"
1901,,,
2009,46.42137,14.05217,"(46.421370, 14.052170)"
1873,31.3,72.38333,"(31.300000, 72.383330)"
1964,31.91667,104.91667,"(31.916670, 104.916670)"
1890,30.80833,109.5,"(30.808330, 109.500000)"
1976,44.05,126.16667,"(44.050000, 126.166670)"
2006,22.68,70.31333,"(22.680000, 70.313330)"
1877,55.7,24.4,"(55.700000, 24.400000)"
1924,40.35,-104.9,"(40.350000, -104.900000)"
1974,-11.85,15.83333,"(-11.850000, 15.833330)"
1819,45.43333,-0.45,"(45.433330, -0.450000)"
1997,35.5,115.41667,"(35.500000, 115.416670)"
1876,12.85,76.8,"(12.850000, 76.800000)"
1984,-7.71667,111.2,"(-7.716670, 111.200000)"
1976,35.2,118.8,"(35.200000, 118.800000)"
1968,38.74028,-7.27,"(38.740280, -7.270000)"
1821,44.71667,4.3,"(44.716670, 4.300000)"
1857,47.35,21.3,"(47.350000, 21.300000)"
1971,11.85,8.21667,"(11.850000, 8.216670)"
1822,27.08333,78.33333,"(27.083330, 78.333330)"
1838,27.25,79.96667,"(27.250000, 79.966670)"
1908,49.86667,30.83333,"(49.866670, 30.833330)"
1980,15,48.3,"(15.000000, 48.300000)"
1937,55.43333,53.25,"(55.433330, 53.250000)"
1890,12.38333,78.51667,"(12.383330, 78.516670)"
1858,45.13333,21.66667,"(45.133330, 21.666670)"
1951,-6.83333,29.5,"(-6.833330, 29.500000)"
1879,17.83333,73.98333,"(17.833330, 73.983330)"
1942,26.03333,81.46667,"(26.033330, 81.466670)"
1913,36.04167,139.95667,"(36.041670, 139.956670)"
1902,14.18333,75.8,"(14.183330, 75.800000)"
1959,31.6,65.78333,"(31.600000, 65.783330)"
1908,-7,115.5,"(-7.000000, 115.500000)"
1897,32.08333,76.3,"(32.083330, 76.300000)"
1942,4.7,33.63333,"(4.700000, 33.633330)"
2004,20.33916,73.22329,"(20.339160, 73.223290)"
1937,42.45,73.36667,"(42.450000, 73.366670)"
1840,47.21667,81.01667,"(47.216670, 81.016670)"
1963,-3.5,35.58333,"(-3.500000, 35.583330)"
1949,12.9,7.15,"(12.900000, 7.150000)"
1905,27.8,67.16667,"(27.800000, 67.166670)"
1955,31.58333,71.6,"(31.583330, 71.600000)"
1930,-35.08333,139.91667,"(-35.083330, 139.916670)"
1938,35.36667,136.76667,"(35.366670, 136.766670)"
2003,29.58333,77.58333,"(29.583330, 77.583330)"
1999,11.33333,10.08333,"(11.333330, 10.083330)"
2006,25.14333,75.81333,"(25.143330, 75.813330)"
1961,39.26333,31.78,"(39.263330, 31.780000)"
1940,-7.75,112.01667,"(-7.750000, 112.016670)"
2008,36.54194,29.41822,"(36.541940, 29.418220)"
1939,29.45,-96,"(29.450000, -96.000000)"
2003,20.4625,86.70278,"(20.462500, 86.702780)"
1874,48.4,-3.3,"(48.400000, -3.300000)"
1869,48.11667,-3.08333,"(48.116670, -3.083330)"
1850,38.98333,141.61667,"(38.983330, 141.616670)"
1873,29.53333,72.3,"(29.533330, 72.300000)"
1932,25.55,83.11667,"(25.550000, 83.116670)"
1787,50.625,35.075,"(50.625000, 35.075000)"
1860,26.95,77.88333,"(26.950000, 77.883330)"
1867,28.01667,75.81667,"(28.016670, 75.816670)"
1929,56.75,75.33333,"(56.750000, 75.333330)"
1910,25.1,81.53333,"(25.100000, 81.533330)"
1932,16,36,"(16.000000, 36.000000)"
1983,14,28,"(14.000000, 28.000000)"
1962,54.4,10.15,"(54.400000, 10.150000)"
1970,16.58333,-11.33333,"(16.583330, -11.333330)"
1906,36.85,138.38333,"(36.850000, 138.383330)"
1809,55,34,"(55.000000, 34.000000)"
2002,12.76667,9.8,"(12.766670, 9.800000)"
1911,43.58333,-89.6,"(43.583330, -89.600000)"
1844,54.66667,-7.66667,"(54.666670, -7.666670)"
1967,11.63333,24.68333,"(11.633330, 24.683330)"
1906,30.75,-95.95,"(30.750000, -95.950000)"
1914,48.16667,22.30833,"(48.166670, 22.308330)"
1998,43.38333,-80.38333,"(43.383330, -80.383330)"
1843,51.6,10.8,"(51.600000, 10.800000)"
1866,48.9,22.4,"(48.900000, 22.400000)"
1999,34.73333,135.16667,"(34.733330, 135.166670)"
1986,34.3,133.95,"(34.300000, 133.950000)"
1926,35.73333,139.75,"(35.733330, 139.750000)"
1931,42.51667,26.16667,"(42.516670, 26.166670)"
2010,48.76367,21.17633,"(48.763670, 21.176330)"
1869,49.32694,7.46472,"(49.326940, 7.464720)"
1829,54.03333,40.9,"(54.033330, 40.900000)"
1946,54.33333,56.08333,"(54.333330, 56.083330)"
1906,56.8,77,"(56.800000, 77.000000)"
1946,47.83333,30.76667,"(47.833330, 30.766670)"
1938,51.15,31.7,"(51.150000, 31.700000)"
1961,30.73111,66.80222,"(30.731110, 66.802220)"
1811,50.75,33.5,"(50.750000, 33.500000)"
1906,41.11667,45,"(41.116670, 45.000000)"
1949,55.78333,61.36667,"(55.783330, 61.366670)"
1998,42.25,59.2,"(42.250000, 59.200000)"
1920,37.05,138.38333,"(37.050000, 138.383330)"
1860,29.68333,78.38333,"(29.683330, 78.383330)"
1977,44.51667,39.3,"(44.516670, 39.300000)"
1914,10.83333,76.03333,"(10.833330, 76.033330)"
